key,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SEHA,7.092308,7.043768,7.068515,7.109000,6.478006,6.518233,6.174783,6.132939,5.831883,5.991109,5.837088,6.032344,5.966000,5.925237,6.484870,6.545065,6.977140,7.158928,7.733077,7.874843,7.823548,7.942921,7.792078,7.861921,7.397852,7.528075,7.670923,7.498925,7.840078
SEHB,2.397066,2.388468,2.369902,2.355942,2.725989,2.675026,2.962532,3.007970,2.610948,2.675288,2.596061,2.509342,0.769000,0.776031,0.748985,0.741007,0.795016,0.838992,0.841008,0.850983,0.898063,0.886991,0.924009,0.824992,0.913982,1.085011,1.337987,1.291987,1.289013
SEHC,20.807194,20.636724,20.564597,20.546707,22.241727,22.419215,23.450538,23.157768,23.441531,24.075571,24.241381,24.742028,25.206000,24.905996,23.956521,24.041240,23.900478,24.338757,24.227242,24.582508,23.748662,24.053759,24.071241,24.262757,24.250515,25.424254,26.768732,26.281737,26.204262
SEHD,0.388352,0.372947,0.371710,0.367551,0.356134,0.367892,0.386112,0.386996,0.374993,0.372803,0.329064,0.337212,0.347000,0.349014,0.347993,0.354004,0.358007,0.374996,0.350004,0.342993,0.375026,0.374996,0.371004,0.365996,0.382992,0.376004,0.412996,0.409996,0.292003
SEHE,0.268859,0.228191,0.274262,0.362530,0.189669,0.206624,0.231667,0.299997,0.338993,0.341483,0.355389,0.304807,0.276000,0.309012,0.342993,0.332003,0.275006,0.235998,0.180002,0.189996,0.186013,0.184998,0.170002,0.144999,0.191996,0.215002,0.166998,0.138999,0.140001
SEHF,3.870124,3.592754,3.537271,3.854265,3.496772,3.425928,3.609395,3.721963,4.154917,4.070519,3.912317,4.211603,3.752000,3.691148,3.872923,3.767038,3.705074,3.814962,3.588036,3.591928,3.419239,3.399966,3.096031,3.134969,3.333933,3.431034,3.115969,3.093969,3.262033
SEHG,,0.938901,0.932289,0.927916,0.864609,0.870845,0.912628,0.929991,0.876982,0.906244,0.924417,0.983281,1.052000,1.095044,1.155977,1.201012,1.177024,1.221988,1.157012,1.171977,1.074075,1.100989,1.083011,1.106989,1.110978,1.056011,1.085989,1.078989,1.144011
SEHH,0.364659,0.354852,0.338557,0.333407,0.291566,0.269115,0.316913,0.300997,0.376992,0.353607,0.361464,0.345313,0.331000,0.303012,0.281994,0.266003,0.278006,0.265997,0.272003,0.251995,0.261018,0.253997,0.279003,0.270997,0.295994,0.316003,0.293997,0.239998,0.238002
SEHJ,1.175356,1.144977,1.101065,1.068509,1.060331,1.024049,1.014923,0.978990,1.012980,0.991109,1.048955,1.047078,0.872000,0.820033,0.728985,0.713007,0.787016,0.768992,0.794008,0.754985,0.893063,0.890991,0.936009,0.943991,0.970981,1.188012,0.965990,0.787992,0.884009
SEHK,0.379081,0.359879,0.345590,0.325373,0.367232,0.346725,0.313904,0.290997,0.338993,0.337442,0.361464,0.365566,0.297000,0.280011,0.284994,0.285003,0.288006,0.270997,0.189002,0.176996,0.209015,0.214998,0.210002,0.219998,0.253995,0.285003,0.223998,0.213998,0.191002
