# wage_uprating.csv -- PUBLISHED statutory uprating decisions.
#
# This file is a VALIDATION TARGET, not a model input. The pipeline implements
# each country's uprating *rule* (ism.wage_pipeline.benefit_index) and applies
# it to observed price and wage data; this table is what the rule has to
# reproduce. Where the implemented rule and the published decision disagree by
# more than 0.1pp, ism.wage_validate reports it.
#
# effective_month is the month the higher payment actually reaches recipients.
# For US OASDI that is January of the year after the COLA's nominal year: the
# SSA table labels a COLA by the December it is effective for, and December
# benefits are paid in January. The 1975-82 COLAs were paid from June of their
# own year.
country,programme,nominal_year,effective_month,pct,rule,source
US,OASDI,2025,2026-01,2.8,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
UK,working-age benefits,2021,2022-04,3.1,"September CPI of the preceding year, SSAA 1992 s.150","Commons Library CBP Benefits Uprating"
UK,working-age benefits,2022,2023-04,10.1,"September CPI","Commons Library CBP"
UK,working-age benefits,2023,2024-04,6.7,"September CPI","Commons Library CBP"
UK,working-age benefits,2024,2025-04,1.7,"September CPI","Commons Library CBP"
UK,working-age benefits,2025,2026-04,3.8,"September CPI 3.8%","Commons Library CBP-10403, Dec 2025"
UK,state pension,2021,2022-04,3.1,"triple lock SUSPENDED for 2022/23 (double lock): CPI only","Commons Library CBP-7812"
UK,state pension,2022,2023-04,10.1,"triple lock: September CPI won","Commons Library CBP-7812"
UK,state pension,2023,2024-04,8.5,"triple lock: earnings won","Commons Library CBP-7812"
UK,state pension,2024,2025-04,4.1,"triple lock: earnings won","Commons Library CBP-7812"
UK,state pension,2025,2026-04,4.8,"triple lock: earnings won at 4.8% vs CPI 3.8%","Commons Library CBP-10403"
FR,pensions,2021,2022-01,1.1,"average CPI excluding tobacco over the 12 most recent monthly indices, CSS art. L161-25","CNAV circulars"
FR,pensions,2022,2023-01,0.8,"CSS art. L161-25 (plus a 4% anticipated revalorisation in July 2022)","CNAV"
FR,pensions,2023,2024-01,5.3,"CSS art. L161-25","CNAV"
FR,pensions,2024,2025-01,2.2,"CSS art. L161-25","CNAV"
FR,pensions,2025,2026-01,0.9,"CSS art. L161-25; coefficient 1.009","CNAV circulaire 2025-29, 22 Dec 2025"
FR,minima sociaux,2025,2026-04,0.8,"same price rule, applied 1 April","solidarites.gouv.fr, 1 Apr 2026"
DE,pensions,2022,2022-07,5.35,"Rentenanpassungsformel, West; East +6.12","BMAS; Deutsche Rentenversicherung"
DE,pensions,2023,2023-07,4.39,"West; East +5.86 (East-West equalisation completed)","DRV"
DE,pensions,2024,2024-07,4.57,"Rentenanpassungsformel","DRV"
DE,pensions,2025,2025-07,3.74,"wage growth alone; the 48% Niveauschutzklausel binds","DRV; Bundesrechnungshof 2025"
DE,pensions,2026,2026-07,4.24,"aktueller Rentenwert EUR 40.79 -> 42.52; Lohnfaktor 1.0425","DRV FAQ Rentenanpassung 2026"
