,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,dmw,minwage,transfer_share,h,h_disc,cov_benchmark,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1968-01-01,6.271344455254613,5.228076695944939,6.271344455254613,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.6889548418729,,-1.0047213658672627,,-0.4176103866182874,,4.222870644608086,,100.0,100.0,ES
1968-04-01,5.840864803101953,5.7100027600616166,5.840864803101953,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.519336834118711,,-1.173332132720649,,-0.6784720310167582,,4.28358446631297,,100.0,100.0,ES
1968-07-01,4.421677299287796,-3.0482290544711965,4.421677299287796,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.099804927152528,,-2.4011668233854957,,-1.6781276278647317,,4.251065164967858,,100.0,100.0,ES
1968-10-01,2.863671893872044,3.5648371739528173,2.863671893872044,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.452578320496431,,-3.9296855446554284,,-2.588906426624387,,4.289120376703243,,100.0,100.0,ES
1969-01-01,1.7862667555509804,0.9184561426606841,1.7862667555509804,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.719316007507341,,-4.90268808632192,,-2.9330492519563602,,4.298980114433658,,100.0,100.0,ES
1969-04-01,1.3437075471640636,3.9397659265139495,1.3437075471640636,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.044194315438685,,-5.175629286954647,,-2.7004867682746214,,4.341531763290517,,100.0,100.0,ES
1969-07-01,2.3723575489426496,1.0663709526431475,2.3723575489426496,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.709826962139478,,-3.7274473782098783,,-1.3374694131968283,,4.3531214134150655,,100.0,100.0,ES
1969-10-01,3.034614316858608,6.2138642456166515,3.034614316858608,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.574784433083304,,-2.417964003637823,,-0.5401701162246959,,4.421273667685692,,100.0,100.0,ES
1970-01-01,4.273060343847068,5.872240250614524,4.273060343847068,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.714439615236057,,-0.44625566366027236,,0.5586207286110114,,4.486659397228983,,100.0,100.0,ES
1970-04-01,3.9107372480774893,2.490473543435634,3.9107372480774893,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.7536991418043435,,-0.13345706736119567,,0.15703810627314585,,4.514681307807421,,100.0,100.0,ES
1970-07-01,6.744994361040568,12.403399404495463,6.744994361040568,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.351958185651588,,3.0351673989010903,,2.39303617538898,,4.656867899946817,,100.0,100.0,ES
1970-10-01,7.27209258343009,8.322257135174738,7.27209258343009,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.935985065207288,,3.6973081503467857,,2.3361075182228017,,4.7547719771900185,,100.0,100.0,ES
1971-01-01,7.431447476421349,6.509659822579561,7.431447476421349,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.4350775474501,,3.717007861185292,,1.9963699289712489,,4.83278492283626,,100.0,100.0,ES
1971-04-01,9.080674647003795,9.087382225765417,9.080674647003795,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.164196967360839,,5.326975505199451,,2.9164776796429557,,4.943834999171612,,100.0,100.0,ES
1971-07-01,6.97551773557834,3.982771758793646,6.97551773557834,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.326461121004339,,2.6235595499267523,,0.6490566145740013,,4.993306297605014,,100.0,100.0,ES
1971-10-01,8.173158854515039,13.112821610921532,8.173158854515039,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.695800667706479,,3.237173789307751,,1.4773581868085603,,5.159709755971909,,100.0,100.0,ES
1972-01-01,8.20477829535231,6.6361375859286476,8.20477829535231,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.997596193235645,,2.7697007479022107,,1.2071821021166658,,5.246025136735763,,100.0,100.0,ES
1972-04-01,6.9564309995126195,4.093993042406652,6.9564309995126195,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.9893631544910395,,0.7922340321517805,,-0.03293215497842006,,5.299993825935837,,100.0,100.0,ES
1972-07-01,8.792326326738898,11.326353067698758,8.792326326738898,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.349955788940611,,2.465865205734559,,1.4423705377982872,,5.452212765586981,,100.0,100.0,ES
1972-10-01,7.8316015258028004,9.269922407177145,7.8316015258028004,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.446284936313049,,1.1358008580963217,,0.38531658948975167,,5.5800422292292895,,100.0,100.0,ES
