,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,slack,slack_vu,gpty,dmw,minwage,transfer_share,h,h_disc,cov_automatic,cov_benchmark,cov_minwage,cov_public,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1965-07-01,4.754518636163341,1.8161211675131739,4.754518636163341,6.208842187849717,6.296832892981286,,,,,,0.0,,,,,0.0,0.35565431648110973,0.0,0.0,0.10669629494433291,0.0,0.0,0.0,0.0,3.7996312795906295,,2.277538982017472,63.07241304601534,0.9548873565727112,2.3985668627103025,6.388547926904137,,110.20713761315267,100.0,UK
1965-10-01,4.48867064827192,2.4837787962983526,4.48867064827192,7.181782488023769,9.214607910134198,,,,,,0.0,,,,,0.0,0.3568297134513598,0.0,0.0,0.10704891403540794,0.0,0.0,0.0,0.0,3.9374391533268875,,1.6287502936716995,64.75512032447433,0.5512314949450321,2.4544628482732547,6.428340694285759,,110.20713761315267,100.0,UK
1966-01-01,4.224372390867903,2.692102141627206,4.224372390867903,6.886414082287251,6.578163332053322,,,,,,0.0,,,,,0.0,0.3580051104216098,0.0,0.0,0.10740153312648294,0.0,0.0,0.0,0.0,3.9948258008350908,,1.0420993315518028,65.72663562208085,0.22954659003281241,2.49516122551987,6.471750985974803,,110.20713761315267,100.0,UK
1966-04-01,3.740318777146956,7.969273003149091,3.740318777146956,7.5792909206519266,8.2275595474389,,,,,,0.0,,,,,0.0,0.3591549552838109,0.0,0.0,0.10774648658514327,0.0,0.0,0.0,0.0,3.9439243960974637,,0.17940933669950399,65.79120725815329,-0.20360561895050777,2.5470154079546314,6.601981861041932,,115.50178657321517,100.0,UK
1966-07-01,3.614516351060537,1.3129114631674987,3.614516351060537,6.199266457604713,0.7767350407924312,,,,,,0.0,,,,,0.0,0.3603175762000365,0.0,0.0,0.10809527286001096,0.0,0.0,0.0,0.0,3.878042787090078,,-0.18511492853009237,65.65716315255953,-0.26352643602954107,2.5519661034142764,6.623687006886452,,115.50178657321517,100.0,UK
1966-10-01,3.755272831997636,3.0468047200467474,3.755272831997636,3.2395857935508143,-2.6241147460813963,,,,,,0.0,,,,,0.0,0.36149297317028656,0.0,0.0,0.10844789195108596,0.0,0.0,0.0,0.0,3.8534887960715896,,-0.1821663213292517,64.23943328602749,-0.09821596407395372,2.5352792687631003,6.674332347190336,,115.50178657321517,100.0,UK
1967-01-01,3.5688662617081146,1.9464758604691212,3.5688662617081146,1.332094543723894,-1.0518016672543595,,,,,,0.0,,,,,0.0,0.3626683701405366,0.0,0.0,0.10880051104216097,0.0,0.0,0.0,0.0,3.7965642891988947,,-0.42595953912697615,63.48986390409663,-0.22769802749078005,2.528621498511959,6.706890065957117,,115.50178657321517,100.0,UK
1967-04-01,2.4893060257497712,3.6510320593157175,2.4893060257497712,1.1953076244197725,7.6804118702224144,,,,,,0.0,,,,,0.0,0.36381821500273775,0.0,0.0,0.10914546450082133,0.0,0.0,0.0,0.0,3.53511263650907,,-1.4546183703476925,64.49720885682329,-1.045806610759299,2.5776427581886585,6.768387979183262,,119.81594498511797,100.0,UK
1967-07-01,1.5714222032736203,-2.358623826737105,1.5714222032736203,3.630133169924976,10.516037222813246,,,,,,0.0,,,,,0.0,0.36498083591896335,0.0,0.0,0.109494250775689,0.0,0.0,0.0,0.0,3.14237454986198,,-2.306620583816458,67.71587411921087,-1.57095234658836,2.6463078774691664,6.728595211801639,,119.81594498511797,100.0,UK
1967-10-01,2.09178986616807,5.128275371624547,2.09178986616807,6.47589043980239,8.758914333428258,,,,,,0.0,,,,,0.0,0.3661562328892134,0.0,0.0,0.10984686986676402,0.0,0.0,0.0,0.0,2.9322576131231983,,-1.7616989299035195,68.6235338596618,-0.8404677469551283,2.7048939343431937,6.815415795179726,,119.81594498511797,100.0,UK
